C—digo,Clave,Descripci—n,Caja,Master,Unidad,C—gido EAN,Precio Publico con iVA,Precio Publico sin iVA,Precio Mayoreo con IVA,Precio Mayoreo sin IVA,Precio Subdistribuidor con IVA,Precio Subdistribuidor sin IVA,Precio Distribuidor con IVA,Precio Distribuidor sin IVA,Marca,Codigo SAT,Descripcion SAT
44230,AB-04,"Mini-abrazadera reforzada, # 4, 3/8 - 5/8', bolsa 10 pzas",10,40,Bolsa,7501206693926,48,41.38,42,36.21,37,31.9,32,27.59,Fiero,31162906,Abrazaderas de manguera o tubo
44231,AB-06,"Mini-abrazadera reforzada, # 6, 1/2 - 3/4', bolsa 10 pzas",10,40,Bolsa,7501206693933,48,41.38,42,36.21,37,31.9,32,27.59,Fiero,31162906,Abrazaderas de manguera o tubo
44256,AB-07,"Mini-abrazadera reforzada #7, 1/2 - 7/8', bolsa con 10 pzas",10,40,Bolsa,7506240645467,48,41.38,42,36.21,37,31.9,32,27.59,Fiero,31162906,Abrazaderas de manguera o tubo
44235,AB-10,"Abrazadera reforzada, # 10, 3/4 - 1-1/16', bolsa 10 pzas",5,20,Bolsa,7501206693971,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44254,AB-104,"Abrazadera reforzada, # 104, 6-1/8 - 7', bolsa 5 pzas",2,8,Bolsa,7501206694169,127,109.48,109,93.97,97,83.62,85,73.28,Fiero,31162906,Abrazaderas de manguera o tubo
44236,AB-12,"Abrazadera reforzada, # 12, 5/8 - 1-1/4', bolsa 10 pzas",5,20,Bolsa,7501206693988,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44237,AB-16,"Abrazadera reforzada, # 16, 3/4 - 1-1/2', bolsa 10 pzas",5,20,Bolsa,7501206693995,105,90.52,89,76.72,79,68.1,69,59.48,Fiero,31162906,Abrazaderas de manguera o tubo
44238,AB-20,"Abrazadera reforzada, # 20, 3/4 - 1-3/4' , bolsa 10 pzas",5,20,Bolsa,7501206694008,105,90.52,89,76.72,79,68.1,69,59.48,Fiero,31162906,Abrazaderas de manguera o tubo
44239,AB-24,"Abrazadera reforzada, # 24, 1-1/4 - 2', bolsa 10 pzas",5,20,Bolsa,7501206694015,115,99.14,99,85.34,88,75.86,77,66.38,Fiero,31162906,Abrazaderas de manguera o tubo
44240,AB-28,"Abrazadera reforzada, # 28, 1-1/2 - 2-1/4', bolsa 10 pzas",5,20,Bolsa,7501206694022,115,99.14,99,85.34,88,75.86,77,66.38,Fiero,31162906,Abrazaderas de manguera o tubo
44241,AB-32,"Abrazadera reforzada, # 32, 1-9/16 - 2-1/2', bolsa 5 pzas",4,16,Bolsa,7501206694039,63,54.31,54,46.55,48,41.38,42,36.21,Fiero,31162906,Abrazaderas de manguera o tubo
44242,AB-36,"Abrazadera reforzada, # 36, 1-13/16 - 2-3/4', 5 piezas",4,16,Bolsa,7501206694046,64,55.17,55,47.41,49,42.24,43,37.07,Fiero,31162906,Abrazaderas de manguera o tubo
44232,AB-4,"Abrazadera reforzada, # 4, 3/8 - 5/8', bolsa 10 pzas",10,40,Bolsa,7501206693940,78,67.24,67,57.76,59,50.86,52,44.83,Fiero,31162906,Abrazaderas de manguera o tubo
44243,AB-40,"Abrazadera reforzada, # 40, 2-1/4 - 3', bolsa 5 piezas",4,16,Bolsa,7501206694053,78,67.24,67,57.76,59,50.86,52,44.83,Fiero,31162906,Abrazaderas de manguera o tubo
44244,AB-44,"Abrazadera reforzada, # 44, 2-5/8 - 3-1/4', bolsa 5 pzas",4,16,Bolsa,7501206694060,78,67.24,67,57.76,59,50.86,52,44.83,Fiero,31162906,Abrazaderas de manguera o tubo
44245,AB-48,"Abrazadera reforzada, # 48, 2-9/16 - 3-1/2', bolsa 5 pzas",4,16,Bolsa,7501206694077,78,67.24,67,57.76,59,50.86,52,44.83,Fiero,31162906,Abrazaderas de manguera o tubo
44246,AB-52,"Abrazadera reforzada, # 52, 3-13/16 - 3-3/4', bolsa 5 pzas",4,16,Bolsa,7501206694084,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44247,AB-56,"Abrazadera reforzada, # 56, 3-1/16 - 4', bolsa 5 piezas",4,16,Bolsa,7501206694091,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44233,AB-6,"Abrazadera reforzada, # 6, 1/2 - 3/4', bolsa 10 pzas",10,40,Bolsa,7501206693957,78,67.24,67,57.76,59,50.86,52,44.83,Fiero,31162906,Abrazaderas de manguera o tubo
44248,AB-60,"Abrazadera reforzada, # 60, 3-5/16 - 4-1/4', bolsa 5 pzas",4,16,Bolsa,7501206694107,105,90.52,89,76.72,79,68.1,69,59.48,Fiero,31162906,Abrazaderas de manguera o tubo
44249,AB-64,"Abrazadera reforzada, # 64, 3-9/16 - 3-1/2', bolsa 5 pzas",4,16,Bolsa,7501206694114,105,90.52,89,76.72,79,68.1,69,59.48,Fiero,31162906,Abrazaderas de manguera o tubo
44257,AB-7,"Abrazadera reforzada #7, 9/16 - 1-1/16', bolsa con 10 pzas",5,20,Bolsa,7506240645474,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44250,AB-72,"Abrazadera reforzada, # 72, 4-1/8 - 5', bolsa 5 piezas",3,12,Bolsa,7501206694121,105,90.52,89,76.72,79,68.1,69,59.48,Fiero,31162906,Abrazaderas de manguera o tubo
44234,AB-8,"Abrazadera reforzada, # 8, 5/8 - 7/8', bolsa 10 pzas",5,20,Bolsa,7501206693964,88,75.86,76,65.52,67,57.76,59,50.86,Fiero,31162906,Abrazaderas de manguera o tubo
44251,AB-80,"Abrazadera reforzada, # 80, 4-5/8 - 5-1/2', bolsa 5 pzas",2,8,Bolsa,7501206694138,115,99.14,97,83.62,86,74.14,75,64.66,Fiero,31162906,Abrazaderas de manguera o tubo
44252,AB-88,"Abrazadera reforzada, # 88, 5-1/8 - 6', bolsa 5 piezas",2,8,Bolsa,7501206694145,115,99.14,97,83.62,86,74.14,75,64.66,Fiero,31162906,Abrazaderas de manguera o tubo
44253,AB-96,"Abrazadera reforzada, # 96, 5-9/16 - 6-1/2', bolsa 5 pzas",2,8,Bolsa,7501206694152,127,109.48,109,93.97,97,83.62,85,73.28,Fiero,31162906,Abrazaderas de manguera o tubo
10434,AB-GT-26,Abrazadera para mango de madera,6,0,Juego,7506240616382,82,70.69,72,62.07,63,54.31,55,47.41,Truper,27112006,Guadañas
11151,AB-GT-26M,Abrazadera para mango de acero,6,0,Pieza,7506240655053,97,83.62,84,72.41,74,63.79,65,56.03,Truper,31162906,Abrazaderas de manguera o tubo
11545,ABT-222,"Disco desbaste metal, tipo27,diámetro 7',alto rendimiento",5,30,Pieza,7501206674178,93,80.17,80,68.97,72,62.07,62,53.45,Truper,31191506,Discos abrasivos
11547,ABT-223,"Disco desbaste metal, tipo27,diámetro 9',alto rendimiento",5,30,Pieza,7501206674161,145,125,125,107.76,109,93.97,95,81.9,Truper,31191506,Discos abrasivos
10668,ABT-372,"Disco para desbaste de acero inoxidable, tipo 27, 4-1/2'",5,30,Pieza,7506240621409,57,49.14,49,42.24,44,37.93,38,32.76,Truper,31191506,Discos abrasivos
11548,ABT-386,"Disco desbaste metal,tipo27,diámetro 4-1/2',alto rendimiento",5,30,Pieza,7501206674185,48,41.38,42,36.21,37,31.9,32,27.59,Truper,31191506,Discos abrasivos
